DNMT3B,ZBTB46,NYNRIN,ARHGAP22,LAPTM4B,MMRN1,DPYSL3,KIAA0125,CDK6,CPXM1,SOCS2,C19orf77,EMP1,NGFRAP1,CD34,AKR1C3,GPR56,riskScore
17-00066,5.478050483,6.153008137,4.914079595,4.154054655,0.26792573,5.719504295,6.158192089,7.598490576,10.47773527,6.723004974,8.404918602,6.26296172,5.612535425,2.795351709,9.928556027,0.374919018,7.170300195,0.79021530183185
17-00111,1.95219981,2.98780773,2.39637321,2.24816483,0.58058728,6.10186851,5.93644146,5.55297971,8.47834054,6.49422282,3.721924,5.98296393,8.37257567,0.00853787,9.33828579,-0.52133517,3.53046307,0.3322174359731
17-00113,4.136543515,4.21401002,3.544718223,2.690392871,5.033341582,4.285735007,3.714270772,3.753718593,10.52656702,7.870503886,4.568336393,5.853106595,4.597538263,2.410034454,9.431683602,0.200052384,4.075585607,0.26928502037039
17-00123,5.00254147,3.59243392,5.20759799,2.02826217,4.1559591,6.5629609,6.18140581,6.90330966,9.11167244,5.99703331,5.95838437,5.09706602,6.24242416,5.6214274,7.08574006,-0.23083151,4.21148148,0.8963909945585
17-00177,5.00607276,4.43006367,4.68211036,4.60426821,7.20430951,1.85138464,7.2070362,6.52940137,9.52282937,8.25600069,6.89895766,6.94296669,5.2713305,5.56356475,-0.77079625,0.240190455,6.60887067,0.4608215403262
17-00185,3.50977045,1.72367075,3.33776165,2.77371014,5.11004666,3.84577138,1.63205643,3.79175705,7.56748977,4.54846192,4.31359741,3.84577138,5.24449656,4.20651523,6.25738163,-0.8859432,5.58524401,0.6661574224877
17-00195,4.61657532,1.4862302,5.11461254,2.47763735,4.72813155,3.88551309,0.82394284,4.88918299,9.39426484,7.07808027,1.80285817,6.37426052,3.15950211,4.02352407,8.34385095,-0.348359915,4.44143218,0.421551460597
17-00210,6.35221395,4.75404416,6.16003585,5.58522674,8.01725068,8.60748814,3.34357659,7.08921042,9.6174198,7.62472777,7.4104153,6.14829299,5.87390429,6.15553067,9.28434406,0.542879855,8.15599177,1.1297459685191
17-00230,2.62609524,0.67551052,3.52896275,2.54294105,2.21663266,1.58524182,0.8484424,2.80048891,7.51204131,4.03957081,1.54558455,0.41440572,2.1911568,2.17824817,-0.83688223,-1.733769935,2.88633409,0.0530456740806999
17-00248,5.59070053,3.45396666,4.53068573,5.20344444,3.64540549,5.98221448,5.09576023,4.82742066,9.51285988,6.89428015,4.54293689,5.33216293,3.47968662,3.72402647,8.97586403,-0.242215555,2.80615987,0.5837613891143
17-00252,6.5623962,-0.458509,6.42856229,6.71143401,10.29828896,9.03645343,3.69737185,5.96117926,10.17348959,3.63102355,6.71464128,4.23290395,-1.81300071,7.09587086,1.08890564,-0.782261205,8.27674081,1.1301878638977
17-00262,6.464905427,4.434596983,5.327851256,5.403461013,4.32560901,4.801177817,4.492847556,6.948587681,9.623028191,7.631022419,5.374745945,4.958105736,5.815958528,4.759378115,1.768405118,0.453520498,7.283050561,0.667411333
17-00264,4.41056324,3.67255878,3.02174299,3.96319265,4.7696335,3.83165226,0.20876508,4.47810834,8.69054386,5.35518792,0.80763399,3.44391301,6.48487816,4.23782961,7.16648386,-1.51377115,3.09169774,0.3935966233135
17-00276,7.393065745,5.881569659,7.050603175,6.19733088,6.126341048,6.789223663,4.175556858,8.384498438,9.886494899,7.888854381,7.79412404,6.459344274,5.355336375,4.446695246,4.954444319,0.6928477925,8.149051125,0.90979962489461
17-00287,5.922734659,3.956615046,4.565021698,4.629224778,6.899760568,5.537576184,6.035086519,6.252519732,9.032578219,7.511459888,6.712951377,5.40877417,5.994641957,4.245475622,2.106867587,-0.450236076,6.510827233,0.76336248120246
17-00300,2.19088651,1.99779378,2.13159328,-1.12055029,0.58662004,-1.48285325,3.45413491,-0.59032329,10.31798782,5.07273683,2.50827041,-1.40274787,3.68475732,0.50590525,0.88673979,-2.55711412,0.60611237,-0.3093851270842
17-00304,5.68729147,4.39548798,0.74544403,4.68749989,3.24711488,-2.63332147,7.64565105,5.42356074,9.77687138,6.65264932,3.59001998,5.79792014,5.66373511,-0.03840007,-1.56977209,0.45049607,5.8477342,-0.0302621482498999
17-00313,5.89099388,3.279313088,3.556687585,5.40965317,3.619981231,2.490308645,7.946085223,6.293152654,9.957392855,7.498889862,6.127707753,6.157877833,5.504108266,4.551913228,0.732018808,0.3454193455,4.271554902,0.44083195102567
17-00322,1.330254634,-0.636079454,0.603839362,0.978009382,2.862925778,3.237274189,1.496901228,3.064251943,8.5006373,6.24532169,1.751499399,6.239454626,6.277831554,-0.484973391,7.26385554,-0.159236352,2.2159899,-0.08825628762014
17-00325,1.170876352,3.371825873,3.350767053,2.926335228,2.603285215,6.855273805,7.205394726,5.665451557,8.842195736,6.981945082,3.952071543,6.210531267,8.173635897,-0.99599209,9.86712599,0.1637147655,2.615108006,0.17671044624145
17-00328,6.299736707,3.969808583,7.163148017,0.000288536,4.541326129,4.07233152,0.10719563,5.368516292,9.991115414,8.470912383,1.924256054,6.755063537,0.329572988,4.35863449,8.273791655,0.3254652185,3.496142543,0.34134013088353
17-00337,5.17988829,3.82528858,4.96371833,3.93584202,3.52467775,4.06981328,3.03035734,6.21523451,9.1064683,7.2279723,4.12050065,5.37120174,6.54894842,4.10447363,8.36491187,-0.41623696,4.98357014,0.6403174548495
17-00346,4.737905533,3.801205469,4.678643671,3.025277122,5.018434061,5.549960843,2.854904028,6.47640994,7.936190666,5.925673941,5.942006603,4.848396517,7.285671648,4.165885644,7.866498065,-0.3204613015,5.652767831,0.86324848533417
17-00360,2.4612978,1.871802623,-0.101567357,1.58209177,2.098553212,-0.395577203,4.054148423,0.490123742,8.256085239,5.807484881,0.616773012,2.590392,6.212473741,2.67045347,-0.932602354,-1.3300529325,2.403901844,-0.16142358660021
17-00423,2.228862264,-0.645249274,2.368091401,0.583797586,1.884613057,0.997357971,1.602492753,-1.12514948,7.100080212,3.553830512,1.591707913,-0.326092449,4.639749515,1.06129553,0.422746991,-2.0207911645,1.839741504,0.0535352308123899
17-00436,2.667093014,0.80044766,1.732120625,3.32759432,2.706440786,2.369073794,0.14410458,2.879951805,6.858797382,2.98768419,3.027067948,-0.105579316,3.828850857,0.280721982,2.947195059,-1.6012402035,3.906930782,0.26495877428747
17-00438,1.723098083,-1.5821553,5.292547065,1.584310101,1.678302694,-0.562434283,-1.269756129,0.057306772,6.914895216,4.478793879,-0.745620474,1.006828806,1.841595454,2.186826753,0.85409215,-2.304024277,1.006828806,-0.15507952978877
17-00441,6.761425192,5.086327128,6.192342485,4.508088673,3.552815947,6.941361963,4.009283425,8.053688259,8.900852052,7.95942527,6.821764982,6.814110382,6.270245615,-1.872611753,5.67119019,0.7281110295,7.286047916,0.60809970089479
17-00442,7.14013828,5.90724095,6.23159834,6.34706551,3.41687978,5.19972163,5.44378062,7.04596958,9.94201865,8.17065921,5.08412087,7.22488645,6.39865393,5.68407208,2.2888753,0.531493195,6.33277855,0.6269000624426
17-00444,3.999174796,2.779220315,1.648384485,3.837935447,3.94196886,2.956058458,2.45214297,4.11343214,9.025570409,5.538454028,1.636894861,4.086233004,1.899802942,3.113568313,-2.988884991,-0.00817494300000021,3.768557505,-0.10179753921215
17-00446,6.38344159,5.318516249,3.893011023,5.589277827,6.683402775,5.185680004,6.51620492,7.049160969,9.944630939,8.115361623,3.888365789,6.101311832,3.249062102,5.533099286,9.876521151,0.258207124,6.647771752,0.84504650971825
17-00452,6.15700469,4.09320007,5.17775085,4.59625463,5.826499,7.03964368,2.29665934,7.25393218,9.26178583,7.95207667,5.54929874,6.39153756,6.82771828,5.26232698,8.73121577,0.512369225,6.99840222,0.9186472648845
17-00464,5.03164188,0.62548147,5.69118631,4.12241162,2.87901883,5.31972234,2.20203355,6.97040874,10.43413467,8.8057745,4.88631659,7.58937617,5.18687095,3.61592069,8.88566277,0.31266387,6.76176541,0.6331098689421
17-00467,6.572912104,4.779582412,6.266882533,5.434884883,6.215673899,7.01155232,6.841979158,8.213465543,9.084318986,7.070387183,3.542821469,6.246083506,7.384785362,5.105176738,9.767742547,0.240345685,6.206307144,1.06972683810313
17-00478,3.83145065,2.70848068,2.03820187,3.89727207,2.8527542,-0.26798427,5.56453483,3.56713454,9.50891784,7.40247862,1.14102907,5.89186779,5.57843881,3.9301746,0.64502008,-0.466064965,2.66222688,-0.0821624458205001
17-00482,2.10985945,4.27466227,3.13807769,0.33274607,4.7348871,1.55378994,1.05171116,3.63261406,7.97750273,5.92830404,5.46940168,4.09276228,9.07489489,3.99130209,6.21018882,-0.294325755,6.3631964,0.4271154185695
17-00485,6.59236852,4.36468286,5.65138047,6.09807778,6.16624786,5.54372861,6.35144192,6.54656897,10.36680278,8.08879229,2.90143307,7.22735257,4.51662574,5.40134938,6.29912005,0.528600455,6.82157754,0.7043628915787
17-00491,5.323184269,4.817726842,2.709363913,4.326750302,5.375524167,-0.736806291,5.975838198,4.815283983,10.28367323,8.285837976,5.794255966,6.275485308,5.487927191,5.048436966,1.543073037,0.0303929919999999,4.116641059,0.18767434348789
17-00499,3.47619041,2.4366435,5.57907404,2.64959912,1.35414098,7.60687807,1.86885335,-0.48039917,9.47581956,3.63915678,6.6765214,0.693358,2.912165,2.27103079,6.54965053,-3.274406445,-0.33085878,0.3675899411436
17-00514,1.926992488,-1.046314627,2.204947642,0.810531288,3.232758251,8.81405655,-0.371905531,-2.155202428,9.972084191,1.373327719,8.555856633,0.924583389,5.94352298,2.001660656,-1.825143019,-2.060382703,2.022303356,0.18183610641092
17-00551,6.895292107,5.607748605,5.598660794,6.209967769,6.744148256,7.190689973,6.75202528,7.542100336,9.612308985,8.004114669,5.789118819,5.914038576,6.088635866,5.576459312,8.509740449,0.297276727,6.633556807,1.03137842051132
17-00556,2.65780508,2.295669772,1.096139492,2.980110145,3.40231899,3.469854004,3.489130146,2.872659649,7.479801267,5.935794634,3.515691246,2.724385403,6.728101542,1.628365411,2.047835342,-0.8024553925,4.850219359,0.2581110818537
17-00613,5.96530752,3.82531193,5.16283644,6.28664249,5.77815813,5.82857467,4.33700708,6.44002117,9.68369771,7.66952805,6.47625899,5.69692653,2.16800013,3.00680687,3.66223139,-0.31774483,7.30971097,0.6213264856026
17-00634,2.076987437,2.264644946,0.631524205,0.956012126,2.539722428,1.39162138,4.791614594,3.512905388,6.806911817,4.944367603,2.920883583,2.35004906,9.287125425,2.763755609,4.727451685,-1.1854908705,2.09908501,0.34682404185211
17-00641,6.761922122,5.846260971,6.092318218,3.259106263,5.200250686,7.524166544,2.258202192,7.768429101,8.725983342,7.914845724,6.664938538,7.432042773,6.630688152,-3.201156402,9.471900445,0.733287104,6.721321435,0.60614072481942
17-00676,6.71130306,4.3763395,3.11681267,2.43764995,5.58497039,6.17848697,4.51081796,7.65986975,9.01654306,4.21148796,5.64161798,4.43449682,7.27317909,5.06278534,8.62283806,0.84626451,6.91365954,1.1528415031773
17-00678,5.61007809,4.067839804,7.506586301,5.202123544,4.421768695,9.220562094,5.558962609,5.829859946,9.595792245,7.386896079,8.064385472,5.986950942,4.256603085,5.021685092,6.343846124,-0.8125363435,4.330507032,0.85488762556885
17-00685,2.481466156,2.254503602,5.264664623,3.796772128,1.700752368,7.572582715,-0.863481893,0.994180489,8.242136166,4.445668897,6.725016432,0.652934744,7.282787169,0.936045354,-0.125381581,-1.163463666,3.168927155,0.15572519581261
17-00687,4.48870862,6.06488927,-1.61364164,0.54497494,2.83808614,3.44413464,-3.6088024,-1.25644436,10.59845381,6.47634827,4.40574652,4.84419167,6.82444737,-3.15112863,9.69872359,0.0969236150000001,2.5597569,-0.3593872768322
17-00690,7.86999597,5.80219476,3.48126746,6.21977211,4.50997341,5.36394225,2.55082198,7.6419037,10.51246111,8.37147529,2.33735207,7.38794822,3.69137645,4.52746405,4.86672538,0.230203975,6.00808523,0.4786246593312
17-00694,1.991381668,3.343532312,-3.302374735,-1.615492047,-2.312153127,-1.409848562,-3.710929934,4.11482733,7.785227784,3.655438473,8.263909629,5.038908934,6.438328659,-2.143318716,8.837798586,-0.525106894,3.700521538,-0.05557562624139
17-00741,-0.06817959,2.872098845,0.355844114,-2.140202075,0.911793833,5.147648422,3.423664281,2.906270288,8.20449692,6.483760155,4.56169034,5.886633102,8.930333835,-0.730060172,8.977158688,0.4534303255,2.71020906,-0.0175740338354402
17-00755,6.47208611,4.33137217,3.45996744,5.17992693,5.36974356,1.97942944,2.17915868,5.23374041,9.36731015,7.67061652,7.32536182,6.14630354,4.72434097,5.87037241,-0.36836528,0.64779138,4.43148508,0.3483214863932
17-00770,0.99913291,-0.21290742,1.21621905,-1.21747671,3.69823483,-0.9681047,3.97874988,-1.21747671,7.81970875,3.29109127,0.0733134,1.01852449,7.27241219,-0.62946641,-1.41142997,-2.901082675,2.3758518,-0.1838809597469
17-00776,6.363895791,5.123782181,5.726469494,5.477540882,5.196716997,6.631779718,2.199916163,7.380404147,9.948574835,7.885156735,6.111155158,5.195804889,6.377232784,5.321547427,6.212488803,0.705439324,7.044520948,0.78031541371824
17-00779,3.41629189,2.3497925,3.48648767,1.56965408,6.99632157,-0.36719922,0.58419795,2.31934353,9.58708421,6.78918252,2.71982546,1.85083443,4.24962032,1.27187389,8.89709556,-3.47330529,1.73564994,0.1491163416919
17-00843,3.39580102,2.43259295,1.3713814,2.3096469,2.29351494,2.80110301,4.82432052,4.33628831,8.78799179,7.28186596,2.88424218,7.60349436,4.80595753,5.30155784,7.3650255,0.08521818,4.74942311,0.3999148590568
17-00851,7.44293741,4.98612023,8.00777802,6.13811876,4.77093392,9.66137184,5.74252232,8.09577147,10.37229768,8.08832938,8.65880287,6.80203122,5.71340422,5.9320515,7.72545334,-0.11231738,6.73269382,1.1650891180654
17-00862,5.711606273,5.641960956,5.998053588,3.096847716,4.028039948,6.544067286,5.826826666,8.057223058,9.740536342,8.091023043,6.605764899,4.891788367,7.093142368,4.824577373,9.136513208,0.1239432175,6.796242485,0.97445434855496
17-00867,4.680332455,4.563101163,5.116656653,5.128052788,-0.411686504,4.333580776,3.278960887,8.58649569,10.2955141,5.499070568,2.863989778,6.364497161,4.306480451,-0.460507426,9.505697887,0.492299559,6.529056629,0.33220674761537
17-00878,6.77458923,5.19649211,5.63384044,4.15630229,8.38424653,9.21219589,4.3651065,6.60168563,9.72518552,7.7867036,7.65705637,3.94051398,4.98708434,5.04235409,9.28708888,-2.47399671,4.01192451,1.0975267869806
17-00881,3.50121791,1.37036475,2.04581186,1.14190143,3.14051652,2.40438805,3.18739738,3.30260363,7.17743011,6.64362339,1.82640762,5.52578688,9.11246615,4.62257925,5.78627075,0.02479466,3.78344373,0.4759949335544
17-00901,3.046290597,4.366810173,5.899172356,2.063673482,0.731835954,9.099203061,0.015062116,-1.68283724,10.15475554,5.155289411,0.598787796,2.012277777,5.697921196,2.509021813,-1.409296948,-3.440531149,2.620004354,-0.11162557764052
17-00908,3.24022344,3.2100801,-3.46683023,1.37371901,2.06816774,6.61122558,4.71974428,7.85477722,10.03699719,5.86483529,-0.99782776,4.26736737,5.61572486,3.36036755,9.97157186,0.739545055,5.05770854,0.4110073746593
17-00915,5.322706648,4.674944825,5.567749461,4.434339005,3.271122314,4.292618469,7.368891647,6.302754371,9.834749179,7.481385931,5.535515115,5.901768495,6.225917037,5.087534383,-0.35378269,-0.1485530665,4.581110994,0.43479189609893
